agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
USGS	14105700	00060	113459	1	1	1894	1895	2	1894	120000	1895	83400	102000					102000				
USGS	14105700	00060	113459	1	2	1894	1894	1	1894	121000	1894	121000	121000					121000				
USGS	14105700	00060	113459	1	3	1894	1894	1	1894	123000	1894	123000	123000					123000				
USGS	14105700	00060	113459	1	4	1894	1894	1	1894	116000	1894	116000	116000					116000				
USGS	14105700	00060	113459	1	5	1894	1894	1	1894	115000	1894	115000	115000					115000				
USGS	14105700	00060	113459	1	6	1894	1894	1	1894	112000	1894	112000	112000					112000				
USGS	14105700	00060	113459	1	7	1894	1894	1	1894	107000	1894	107000	107000					107000				
USGS	14105700	00060	113459	1	8	1894	1894	1	1894	107000	1894	107000	107000					107000				
USGS	14105700	00060	113459	1	9	1894	1894	1	1894	104000	1894	104000	104000					104000				
USGS	14105700	00060	113459	1	10	1894	1894	1	1894	103000	1894	103000	103000					103000				
USGS	14105700	00060	113459	1	11	1894	1894	1	1894	102000	1894	102000	102000					102000				
USGS	14105700	00060	113459	1	12	1894	1894	1	1894	102000	1894	102000	102000					102000				
USGS	14105700	00060	113459	1	13	1894	1894	1	1894	108000	1894	108000	108000					108000				
USGS	14105700	00060	113459	1	14	1894	1894	1	1894	136000	1894	136000	136000					136000				
USGS	14105700	00060	113459	1	15	1894	1894	1	1894	157000	1894	157000	157000					157000				
USGS	14105700	00060	113459	1	16	1894	1894	1	1894	180000	1894	180000	180000					180000				
USGS	14105700	00060	113459	1	17	1894	1894	1	1894	202000	1894	202000	202000					202000				
USGS	14105700	00060	113459	1	18	1894	1894	1	1894	219000	1894	219000	219000					219000				
USGS	14105700	00060	113459	1	19	1894	1894	1	1894	213000	1894	213000	213000					213000				
USGS	14105700	00060	113459	1	20	1894	1894	1	1894	199000	1894	199000	199000					199000				
USGS	14105700	00060	113459	1	21	1894	1894	1	1894	185000	1894	185000	185000					185000				
USGS	14105700	00060	113459	1	22	1894	1894	1	1894	180000	1894	180000	180000					180000				
USGS	14105700	00060	113459	1	23	1894	1894	1	1894	166000	1894	166000	166000					166000				
USGS	14105700	00060	113459	1	24	1894	1894	1	1894	161000	1894	161000	161000					161000				
USGS	14105700	00060	113459	1	25	1894	1894	1	1894	156000	1894	156000	156000					156000				
USGS	14105700	00060	113459	1	26	1894	1894	1	1894	159000	1894	159000	159000					159000				
USGS	14105700	00060	113459	1	27	1894	1894	1	1894	155000	1894	155000	155000					155000				
USGS	14105700	00060	113459	1	28	1894	1894	1	1894	152000	1894	152000	152000					152000				
USGS	14105700	00060	113459	1	29	1894	1894	1	1894	148000	1894	148000	148000					148000				
USGS	14105700	00060	113459	1	30	1894	1894	1	1894	144000	1894	144000	144000					144000				
USGS	14105700	00060	113459	1	31	1894	1894	1	1894	142000	1894	142000	142000					142000				
USGS	14105700	00060	113459	2	1	1894	1894	1	1894	142000	1894	142000	142000					142000				
USGS	14105700	00060	113459	2	2	1894	1894	1	1894	138000	1894	138000	138000					138000				
USGS	14105700	00060	113459	2	3	1894	1894	1	1894	132000	1894	132000	132000					132000				
USGS	14105700	00060	113459	2	4	1894	1894	1	1894	123000	1894	123000	123000					123000				
USGS	14105700	00060	113459	2	5	1894	1894	1	1894	123000	1894	123000	123000					123000				
USGS	14105700	00060	113459	2	6	1894	1894	1	1894	124000	1894	124000	124000					124000				
USGS	14105700	00060	113459	2	7	1894	1894	1	1894	118000	1894	118000	118000					118000				
USGS	14105700	00060	113459	2	8	1894	1894	1	1894	124000	1894	124000	124000					124000				
USGS	14105700	00060	113459	2	9	1894	1894	1	1894	124000	1894	124000	124000					124000				
USGS	14105700	00060	113459	2	10	1894	1894	1	1894	124000	1894	124000	124000					124000				
USGS	14105700	00060	113459	2	11	1894	1894	1	1894	124000	1894	124000	124000					124000				
USGS	14105700	00060	113459	2	12	1894	1894	1	1894	124000	1894	124000	124000					124000				
USGS	14105700	00060	113459	2	13	1894	1894	1	1894	123000	1894	123000	123000					123000				
USGS	14105700	00060	113459	2	14	1894	1894	1	1894	117000	1894	117000	117000					117000				
USGS	14105700	00060	113459	2	15	1894	1894	1	1894	114000	1894	114000	114000					114000				
USGS	14105700	00060	113459	2	16	1894	1894	1	1894	114000	1894	114000	114000					114000				
USGS	14105700	00060	113459	2	17	1894	1894	1	1894	113000	1894	113000	113000					113000				
USGS	14105700	00060	113459	2	18	1894	1894	1	1894	110000	1894	110000	110000					110000				
USGS	14105700	00060	113459	2	19	1894	1894	1	1894	110000	1894	110000	110000					110000				
USGS	14105700	00060	113459	2	20	1894	1894	1	1894	105000	1894	105000	105000					105000				
